ID;Event;Status;Request_ID;Description;Customer;Due Date;Forecast Scope
15;Order;Done;N730711 UW Etzenricht-Bechterdissen;Relocation + Modifications (new LV-Pfisterer, fixation points for ladders, new stairs to platform);GER;28/02/26;On-site Refurbishment
16;Order;Done;N730704 Qushawira;power increase with new fans+new cubicle, adjustment of platform;GER;28/02/26;On-site Refurbishment
17;Offer;Done;AE25_303 Shuweihat 262;bushing exchange;GER;15/01/26;Replacement of bushings, shield-electrodes and CT's
18;Order;Done;N730700 ENetz Möhrfelden;power increase with new fans and control cubicle;GER;31/01/26;On-site Refurbishment
19;Order;Done;N730707 UW Daxlanden;3 Transformators, complete new secondary euqipment, bushing exchange;GER;31/03/26;"Protection devices, wiring/cabling, cubicles, monitoring;#Replacement of bushings, shield-electrodes and CT's"
20;Order;Done;N730708 UW Stalldorf T412;platform installation;GER;05/02/26;On-site Refurbishment
21;Order;Done;N730714 UW Pulverdingen ABB;platform installation;GER;28/02/26;On-site Refurbishment
22;Order;Done;D581047 Pfalzwerke;power increase (fans+controll cubicle);GER;28/02/26;Uprating
23;Order;Done;D527213 Trimet;inhouse refurbishment;GER;31/01/26;On-site Repair
24;Offer;Done;AM26_003hue UW Helmstedt T412;;GER;18/12/25;"On-site Refurbishment;#Replacement of bushings, shield-electrodes and CT's;#Protection devices, wiring/cabling, cubicles, monitoring"
25;Offer;Done;AM26_049KE Wesernetz Bühne+Latchways;;GER;19/12/25;On-site Refurbishment
29;Offer;On Hold;EDF-Repair 570MVA-400kV-Paluel-Strategic_Spare-FR;Repair of a Single-Phase unit 570MVA for EDF / FR;RRL;22/12/25;In-House Repair
30;Offer;Done;AM26_055hue_TransnetBW UW Engstlatt T311_Nachtrag Engineering;Check electr. clearance to surrounding equipment in substation and make proposal sketch how to arrange new platforms.;GER;31/12/25;On-site Refurbishment
31;Offer;Done;CS-D 21-058  Azura Edo Study;Offer support: Check available documentation and give feedback whether study can be done and how many hours have to be calculated;GER;31/01/26;Uprating
32;Offer;Done;AM26_051stf_UW_Grünkraut_T311_SMITT_220244_Sekundärtechnik;Constructive support for offer preparation;GER;26/02/26;Protection devices, wiring/cabling, cubicles, monitoring
33;Offer;Done;AM26_052stf_UW_Grünkraut_T312_SIEMENS_N408157_Sekundärtechnik;Constructive support for offer preparation;GER;26/02/26;Protection devices, wiring/cabling, cubicles, monitoring
34;Offer;Done;S.261054 - SGRE_DK_Schneider_Fremdtrafo_REP_KAN;"Background

The investigation identified insufficient welded connections within the LV copper bus ducts, which are composed of multiple copper flat conductors. The findings indicate potential risks, including:

Reduced effective conductor cross-section at weld locations

Increased electrical resistance due to poor or inconsistent weld quality

Potential loosening or degradation of electrical contact over time

Elevated risk of localized overheating and long-term reliability issues

These risks may negatively impact electrical performance, thermal behavior, and overall system reliability.

Engineering Demand

We formally request a design change from welded busbar connections to crimped connections, ensuring:

Stable and repeatable electrical contact

Improved mechanical robustness

Lower contact resistance

Enhanced long-term reliability under thermal cycling and operational loads

The proposed crimped connection shall be designed, validated, and qualified according to applicable standards and internal engineering guidelines.

Requested Actions

Engineering evaluation of the proposed crimped busbar connection design

Definition of applicable crimping method, tooling, and quality controls

Electrical and thermal validation (including resistance and temperature rise)

Assessment of manufacturability and implementation timeline

Please provide your technical assessment, feasibility, and proposed next steps at your earliest convenience.";AT;28/02/26;In-House Repair
35;Offer;Done;S.261078 - SE_PL_Mikulowa_Bushing_SPA_YEY;"Bushing Exchange  on two-phase shifters.
All relevant information is in Fabasoft s.261078. 
Here is one problem that needs your attention.
In the tender documentation, the Customer demands a change to the existing leads.

The existing two M12 cable lugs (for two 185 mm² cables) are rated for currents up to 2 x 800 A = 1600 A.
Depending on the bushing type and the manufacturer of the lug socket (oil-filled) at the winding output, the connection must be adjusted accordingly.

From my point of view the bottleneck is the two 185 mm² copper cables. For a current of 2000 A, four 185 mm² copper cables would be required.

The problem is that we would have to implement this solution on-site.

My theoretical solution is:

Have the copper conduit cut and crimp new cables together, but this carries the risk of contaminating the transformer.


";AT;16/01/26;Replacement of bushings, shield-electrodes and CT's
36;Order;In Progress;S.251079 - SE_US_ConEd_400MVA_Bushing_ret_SPA_YEY;"There is WA6800928 – Astoria. Service WA 3503399. 100 hours for ENG support were planned.
New HV bushings (Material number 21001297225) should be installed on a transformer. The drawings should be adapted accordingly. All necessary parts (adaptor flanges, pipes, etc..) should be ordered. 

Parts are already ordered
Bushing - BUSHING OA/A/RIS/S/362/1300/02000/32/475  SAP 2100129725 -3pcs
UMFORMUNG KALOTTE - 2100130963 - 3pcs
BUSHING BAYONET CONNECTION WITH TERMINAL - 2100140253 - 3pcs
Bushing end shield -2006015489 -3pcs

all relevant drawings are in Fabasoft or Agile

";AT;25/06/26;Replacement of bushings, shield-electrodes and CT's
37;Order;In Progress;S.251080 - SE_US_ConEd_575MVA_PST_Bushing_ret_SPA_YEY;"There is PAR WA6800783-784 – Astoria.
Service WA 3503398 
150 hours were planned

362 kV bushings should be installed. The design should be adapted accordingly (new turrets source/load + current transfomer). 

Parts are ordered:
UMFORM. +1 BARR. ZU HSP-ABSCHIRMELEKT. -2100130963 - 6pcs.
BUSHING OA/A/RIS/S/362/1300/02000/32/475 - 2100129725 - 6pcs.
Bushing end shield - 2006015489 - 6 pcs.
BUSHING BAYONET CONNECTION WITH TERMINAL - 2100140253 - 6 pcs.

all relevant docs are in Fabasoft



";AT;25/06/26;Replacement of bushings, shield-electrodes and CT's
38;Order;In Progress;N730715 UW Helmstedt T412 ;"2 Transformer transportations, 2 secondary technic update, 2 power upgrades and one bushing exchange

1200 hours planned for both unit";GER;30/11/26;"On-site Refurbishment;#Replacement of bushings, shield-electrodes and CT's;#Protection devices, wiring/cabling, cubicles, monitoring;#Uprating"
39;Order;In Progress;N730725-742- HCB REHABILITATION;"17 transformers to be refurbished onsite (7x TU, 9x Alsthom, 1x Efacec) 
new bushings, new gaskets, new protection devices, new wires
additional work depending on findings during inspection by DIAG team";GER;31/07/26;"On-site Refurbishment;#Replacement of bushings, shield-electrodes and CT's"
40;Offer;Done;EP Produzione - Drawings for the adaptation of a Weiz unit to the Livorno-Ferraris plant (Italy) - V100.2025;We are kindly ask to provide an official estimation of the ENG hours required to update the attached drawing of Weiz unit s/n 112035 (end customer EP Produzione) including 15° tilted HV turrets (drawings attached). This topic has been already discussed with Wittmeier Thomas (first roughly estimation of ENG hours, 30 hours). Kindly provide also an estimation on when the drawings could be available. ;TIE;22/01/26;On-site Repair
41;Offer;In Progress;S.261194 - SE_US_EXELON_DETC_Spares_SPA_LVO;The customer has the unit WO66795 with gassing issues. They are having an inspection in March to determine the source of the gassing. In advance they want to know I we still use the installed DETC and if spare parts are available. Could you please help me with answering.;AT;29/06/26;Replacement of bushings, shield-electrodes and CT's
42;Order;Done;8284225 moisture inside electrical cabinet;After we have installed new electrical, customer criticized moisture inside the cabinet. The design of the cabinet and incoming wiring must be controled.;GER;09/02/26;Protection devices, wiring/cabling, cubicles, monitoring
43;Order;Done;D581031 Saale Energie ;design of 2 metal protection covers for 1N and 2N bushings (20h EN);GER;28/02/26;On-site Refurbishment
44;Order;In Progress;N730695 Wesernetz Bremen =U1;Implementation of Ruplan circuit diagrams in EPLAN;GER;31/12/26;On-site Refurbishment
45;Order;In Progress;N730696 Wesernetz Blockland =U7, (LEPPER);"bushing exchange, revision of OLTC, partial new gaskts
Option (not yet ordered): new secondary equipment
100h EN";GER;31/03/27;"On-site Refurbishment;#Renovation of external parts (correction of leaks, dirt, oxidation and painting);#Electrical and/or material testing, inspection, evaluation and diagnosis"
46;Offer;Done;AM26_041hue_UW Engstlatt T312 ALSTOM_AbStuSi;"Offer for new platform and ladder installation.
Required offer support from EN: draft of new platforms (15h)";GER;15/02/26;On-site Refurbishment
47;Offer;Done;AM26_073pk ENO Offenbach UW Friedrichsring -T32;"New replacement installations after on-site measurement
Further documents in the project folder AM26_069pk. 
Please provide information and documents in german, the customer is in Germany, ...
";GER;30/01/26;On-site Refurbishment
48;Offer;Done;AM26_069pk ENO Offenbach UW Mühlheim -T11;"New replacement installations after on-site measurement
Further documents in the project folder AM26_069pk. 
Please provide information and documents in German, the customer is in Germany, ...
";GER;26/02/26;On-site Refurbishment
49;Offer;Done;AM26_071pk-1 ENO Offenbach UW Friedrichsring -T31;"New replacement installations after on-site measurement
Further documents in the project folder AM26_069pk. 
Please provide information and documents in German, the customer is in Germany, ...
";GER;26/02/26;On-site Refurbishment
50;Offer;Done;S.261225 - VHB_AT_2xUS-DFG-Umbau_MLE_LVO;"The customer has received a recalculation for a performance increase in 2025 and is know asking for the costs of realizing the performance increase. The two transformers are from 1965 and 1967 respectively. I would need to know if the installed bushings are capable of the new current and if not, which new bushing can be used with the costs and lead time. Furthermore I would need to know if any additional changes are necessary.
I will ask the customer in the meantime, if the original bushings form the 60s are still in use. 
The Link to a-DMS: https://at.cloud.fabasoft.com/folio/fscasp/content/bin/fscvext.dll?bx=COO.6505.100.26.2479377

If possible I would appreciate a first response next week.

For questions and clarifications, feel free to contact me.";AT;12/02/26;"Uprating;#Replacement of bushings, shield-electrodes and CT's"
51;Offer;Done;AM26_018stf Niedervieland U3 U4 U7;"Control cabinet housing including newly assembled mounting plate including replacement of switching devices.
EN-Offer-Support: Check existing documentation and provide hour forecast for calculation";GER;30/03/26;Protection devices, wiring/cabling, cubicles, monitoring
52;Offer;In Progress;Design of Oil storage tank for RRL;;RRL;12/02/26;In-House Repair
53;Offer;Done;Bushing exchange CEPS_KPT units;;ZAG;26/02/26;Replacement of bushings, shield-electrodes and CT's
54;Offer;On Hold;S.261235 - SE_US_Waldwick_1721153_66697_SoundEncl_SPA_YEY;"The Customer requested a noise enclosure for recently relocated transformer due to high noise pollution in surrounding. See a report.
The noise reduction minimun -6dB requested from the Customer.

What is requested from my side:

1. Please provide a calculation of the proposed solution in order to ensure that we can reduce the noise level -6bB.
2. Please provide a simple sketch of the solution
3. Please provide the weight of the necessary material and the specification for the material

All documents are located in Fabasoft 

Transformer data:
Seriennummer:1721153
WA Nummer:66697
Kunde:PSE&G
TAQ-225L33U9K-99

";AT;02/07/26;Electrical and/or material testing, inspection, evaluation and diagnosis
55;Offer;Done;Paiton Service Work;Offer Support: Design draft for cooling pipe (20h EN) + provide EN hours for calculation ;GER;31/03/26;On-site Refurbishment
56;Order;Done;ONYX KW Farge;"Trafo N111 437
Konstruktive Bewertung der US-Seite für mögliche Anschlusstechniken wegen einem Umbau der Anlage auf BESS";GER;31/03/26;Replacement of bushings, shield-electrodes and CT's
57;Offer;Done;1000/26 - Modesto - Rosemore ;Auxilliary PA replacement on a 233MVA 220/69/12 kV transformer;RRC;16/02/26;In-House Repair
58;Offer;Done;S.261257 - EAG_AT_Lüfteranbau_TABOR_REP_DBC_STL;"Customer requested power increase for the unit N006462101. ONAN10MVA --> ONAF 12,5MVA
Transformer was already prepared for ONAF but with Siemens fans, which are no longer available.

Required:

Effort estimation:
- for selecting alternative fans that fit the existing radiators without any modifications.
- for new nameplate (updated data according to the new fan configuration).
- for new schematic drawing including the new fans.

Work should begin after receipt of the PO, for now, only an effort estimation is required.";AT;13/02/26;On-site Refurbishment
59;Offer;Done;change of earth terminals;"The customer is requesting if it is possible to earth a different terminal on the CTs (S2 instead of S1 and S3 instead of S1).
customer request is attached.
Seriennummer: 1754873-1754880
WA: 67437-67444
For further clarification, feel free to contact me.";AT;19/02/26;Electrical and/or material testing, inspection, evaluation and diagnosis
60;Order;Done;Studie Dominion;Wie Vorangebot ;GER;27/02/26;Replacement of bushings, shield-electrodes and CT's
61;Order;Done;Support PN Engineering;105h EN for turret design;GER;23/04/26;In-House Repair
62;Offer;Done;Talen Energy:  Ticket Nr./No.: 1-1377496: Siemens Energy website request: System No: ISSUE=1377496 PROJ=1;"SE US is asking for a customer for a table about recommended energization duration based on 100% cooling loss depending on ambient temperature (0-40C) and %-load (60-100%) fora VA-TECH Peebles unit 44741. This one is a ODAF unit.
In 2003 there was a study conducted, researching the maximum operating time after 100% cooling loss with an ambient temperature of 40C, reaching the conclusion that the transformer must trip after 10min.
I already contacted the UK colleagues for documentation of this unit. All Documents that I got will be as an attachemend zip. I attached the mails with the US colleague as well.

Without much effort, how much information are we able to provide the customer. I would appreciate a first response with the end of this week.

Thank you.";AT;22/02/26;Electrical and/or material testing, inspection, evaluation and diagnosis
63;Offer;Done;0;"Bitte die Kompatibilität der neuen SETFt550 mit alter OTF550 vergleichen.
N110133";GER;20/02/26;Uprating
64;Offer;Done;V053_2026 Additional fan installation on TIE unit 191330A;"The cutomer requires to install an additional fan on the radiator highlighted in the picture attached.
The fan model is a Ziehl-Abegg, FN80-SDL.6N.V792 (datasheet attached).
The support on the radiator used on the already two installed fans cannot be used for a single fan, also it requires welded brackets on the tank that are not installed on the other side of the tank.

We kindly request an estimation of the ENG hours for the design of a new support for just one fan that does not require the welded brackets on the tank. In addition, kindly provide a drawing's draft to ask the local supplier a quotation for the support.
 ";TIE;25/02/26;Temperature reduction
65;Offer;Done;1009-26_SE-Solvay-Repair-55MVA-55kV-Bilbao-ES;Replace Windings on a 55MVA 55kV Transformer manufactured by Siemens Portugal in 1998;RRL;03/03/26;In-House Repair
66;Offer;Done;n.a;Ersatztype für DT123 gem. N00 07 509-02;GER;25/02/26;Replacement of bushings, shield-electrodes and CT's
67;Offer;Done;S.261308 - WA 67479-480 WNG_AT_Ölstandsanzeiger_REP_MMA;Oil level indicators are defective and must be replaced with a simplified system (only pipe with indicator). Customer wants a simple solution.;AT;03/04/26;On-site Repair
68;Order;Done;N730744_UW_Grünkraut_T311_SMIT_220244;Retrofit Engineering  ;GER;31/08/26;Protection devices, wiring/cabling, cubicles, monitoring
69;Order;New;N730745_UW_Grünkraut_T312_N408157;Retrofit Engineering;GER;30/03/27;Protection devices, wiring/cabling, cubicles, monitoring
70;Order;In Progress;N730681 Wesernetz Blockland =U5, (TU);new secondary equipment;GER;30/09/26;Protection devices, wiring/cabling, cubicles, monitoring
71;Offer;In Progress;S.261338 CEPS bushings replacement;CEPS wants to replace bushing on their transformers within the next years. As we want to help them figure out the best strategy, it is necessary to present them a Spare parts concept. They have had already contact with KPT regarding this topic. I would appreciate a list of recommended bushings for their transformer fleet. If some bushings are not available anymore, which ones to replace.;AT;22/06/26;Replacement of bushings, shield-electrodes and CT's
72;Order;Done;3948 8641 UW Wuergassen T411_ Abdichtung;technical support for design and ordering;GER;12/03/26;On-site Repair
73;Order;Done;Midel Feasibility Study;Wiring of a pump for the test runs;GER;06/03/26;Electrical and/or material testing, inspection, evaluation and diagnosis
74;Offer;Done;S.261254 - SE_GB_ESB_Connex-Umbau_REP_DBC_STL;"The customer wants to connect a Connex cable size 6 to the cable box, however, ABB AEPGA sockets were installed at that time, and these are not compatible with Connex cable size 6. For this reason, the customer wants the lower part of the HV cable box to be replaced with a dome that is equipped with a Connex socket size 6.
The issue is described in my email to the customer, see attachments.

I need an Eng. effort estimation for my offer, as well as an estimation of the weight of the domes that need to be modified. This information is required so that I can evaluate or request the pricing for the dome.";AT;20/03/26;"Replacement of bushings, shield-electrodes and CT's;#On-site Refurbishment"
75;Offer;Done;ATUCHA I Cooling plant;"Bitte auf technische Realisierbarkeit hin überprüfen.
Trafo T280895";GER;31/03/26;On-site Refurbishment
76;Order;In Progress;D527228 - eNetz Südhessen Babenhausen;"In-House Refurbishment of 40MVA SGB transformer
new OLTC, HV bushings, conversion of LV to Pfisterer Connex";GER;31/07/26;In-House Refurbishment
77;Order;Done;D581068 - Vantage;Modification of LV cable boxes to house surge arrester;GER;30/04/26;On-site Refurbishment
78;Offer;Done;CS-D 26-030 EnBW Albatros;provide draft of PRD pipe connection;GER;13/03/26;On-site Refurbishment
80;Offer;Done;CD-D 26-xxx - EG Gera ;Provide Draft of shock absorber arrangement under transformer;GER;31/03/26;On-site Refurbishment
81;Order;Done;Infra Fürth Germany, Change from Porcelaine to PFISTERER LV side;Serialnumber N421457 - Change from Porcelaine to PFISTERER LV side, adding one Buchholz;GER;30/04/26;Replacement of bushings, shield-electrodes and CT's
82;Offer;Done;S.261307 - SE_GB_ENWL_cooling-contrl._SPA_DBC_STL;"The customer would like to replace the cooling control system, in the attachment, but the manufacturer don´t exists anymore.
Is there an alternative we could use here? Could you please have a look at this and let me know what you think? ";AT;20/03/26;Protection devices, wiring/cabling, cubicles, monitoring
83;Offer;Done;Bushing SOTF vs AETFt ;Bitte überprüfen ob wir diese SETFt 1550 im Tx N110233 verwenden können;GER;30/04/26;Replacement of bushings, shield-electrodes and CT's
84;Order;In Progress;1013-26-SE-EP Produzione Centrale Livorno Ferraris SpA-Livorno TPP-IT;Factory repair of 1 unit 290MVA, 405/17,5kV GSU after a bushing failure;RRL;30/08/26;In-House Repair
85;Offer;Done;SEC bushing DT130;DIN123kV vs. STARIP - prüfen ob die Möglichkeit besteht umzurüsten;GER;24/03/26;Replacement of bushings, shield-electrodes and CT's
86;Offer;Done;S.261039 - SE_IE_Coolkeeragh_GT_POW_increas_MLE_YEY;"ask several suppliers for a budgetary offer for 3 bushings similar to the attached design, except the current. Current should be 1250A.
Offer please put in a Fabasoft.";AT;27/03/26;Replacement of bushings, shield-electrodes and CT's
87;Offer;Done;S.261394 - SE_CA_BCHydro_gasket kit_SPA_LVO;I would need a list of gaskets for the transformers with the serial 1766221-1766223 (WA6700515-6700517). They are the same unit. The customer is asking for the gaskets for the openings and oil piping.;AT;02/04/26;On-site Refurbishment
88;Order;Done;D581070 Mercer Rosenthal;Spareparts ;GER;31/03/26;Renovation of external parts (correction of leaks, dirt, oxidation and painting)
89;Order;Done;D580669 ILC Bornheim;Spareparts;GER;31/03/26;Renovation of external parts (correction of leaks, dirt, oxidation and painting)
90;Offer;Done;AM26_099hue UW Eichstetten T402 ABB AbStuSi_;"Addition of Stairs + Latchways for ABB transformer
Offer support: take measurements onsite and prepare sketch of solution";GER;30/04/26;On-site Refurbishment
91;Order;Done;N730749 UW Villingen T401 AbstSi;Addition of stairs + latchways;GER;19/06/26;On-site Refurbishment
92;Offer;Done;S.261225 - VHB_AT_2xUS-DFG-Umbau_MLE_LVO;The customer is requesting an offer for a bushing replacement to handle a power increase. The possibility has already been looked at from Weiz Engineering in 2025. S.251147. The limiting factor has been the LV-bushing, which is not capable of the additional current. The cooling should be capable. I attached the power increase assessment, as well as the original drawings of the LV-bushing and the LV-layout and the specification from our bushing supplier. I would need this to be validated and checked, to answer our supplier and finalize the offer.;AT;16/04/26;On-site Refurbishment
97;Offer;Done;1001- SF262538064 - MTE;"In the process of disassembling a transformer for relocation, MTE discovered that some blocking and key spacer material had worked loose from the inside of the transformer.

MTE would like to discuss with Siemens, the untanking, inspection, and repair or rewind of the transformer.
";RRC;13/04/26;In-House Refurbishment
98;Order;Done;RTE frame contract_vakuum capability_Alsthom unit;;AT;29/05/26;On-site Refurbishment
99;Offer;Done;1015-26_Energie AG-OLTC Exchange-50MVA-110V-Vöklabruck-AT;Small Service incl. OLTC exchange. Details as per project Brief enclosed;RRL;26/04/26;In-House Repair
100;Order;Done;NCC;Ordering of spareparts ;GER;21/04/26;On-site Repair
101;Order;Done;5181076 Woodfibre;Ordering spareparts;GER;27/04/26;On-site Repair
